Date,Name,Brand,Rating,Notes
5/3/2026,Givenchy ,Gentlemen EDP,9,
5/3/2026,ATH,Slut Elixir,8,
5/4/2026,Guerlain,L'homme Ideal Cologne Forte EDP,8.75,
5/4/2026,Creed,Viking Cologne,8,
5/5/2026,Ahmed Al Maghribi,Aqua Oud,8.25,
5/5/2026,Ahmed Al Maghribi,Ighraa,9.25,
5/6/2026,Ex Nihilo,Speed Legends,7,
5/6/2026,Yves Saint Lauren,Tuxedo (white label),8.75,
5/7/2026,Ahmed Al Maghribi,Kaaf,8.25,
5/7/2026,MDCI,Invasion Barbare,8.5,
5/8/2026,Ahmed Al Maghribi,Marj ,9,
5/8/2026,Banadir,Aventus Absolu,8.25,
5/8/2026,Banadir,Imagination,8,
5/8/2026,Banadir,Pacific Chill,7,
5/11/2026,Antonio Puig,Quorum  '01-'05,8.25,
5/11/2026,Bvlgari ,Tygar Extrait,9.25,
5/12/2026,Ahmed Al Maghribi,Ignite Rose ,7,
5/12/2026,Ahmed Al Maghribi,Blue Oud,8.25,
5/12/2026,Polysnifferous,Green Polish Intense,9.25,
5/13/2026,Ahmed Al Maghribi,Laathani,8.25,
5/13/2026,BDK,Gris Charnel Extrait,8,
5/14/2026,Ahmed Al Maghribi,Cinder,8,
5/14/2026,Matiere Premiere,Vanilla Powder Extrait,9,
5/15/2026,Ahmed Al Maghribi,Zeleny,7,
5/15/2026,Polysnifferous,"You In Danger, Girl",8,Bubblegum with excellent drydown
5/16/2026,Polysnifferous,The Queen,8,Rose
5/16/2026,Lattafa ,Art Of The Universe,7.5,sweet pear
5/16/2026,Yves Saint Lauren,Myslf Absolu ,8.75,beautiful vanilla and floral
5/16/2026,Yves Saint Lauren,Myslf Parfum,7.75,floral forward
5/17/2026,Yves Saint Lauren,Myslf EDP,8.25,powder and florals. very nice
5/18/2026,Polysnifferous,Aventish Red,7.75,not good performance 
5/18/2026,Polysnifferous,Brackish Man Intense,8.5,heavier projection than OG
5/18/2026,Polysnifferous,Aventish,9.25,perfection 
5/19/2026,ScentHype,F'eau Sauvage,7.75,very light but decent scent
5/19/2026,Givenchy,Gentlemen Society Ambree,8.25,light projection
5/20/2026,Mind Games,Gambit,8.5,"held up at the gym. nice fresh, armoatic scent"
5/20/2026,Essential Parfums ,Bois Imperial EDP,9,masterfully blended woody nuclear frag with a perfect discoverable projection
5/21/2026,Gucci,Oud- Intense,8.25,great starter oud for someone. just a touch of animalics with a well done oud accord. 
5/21/2026,Ranger Station,Ernest 1992,7.75,pine and cedar. classic style fragrance. decent performance
